-3,409677975864317E-6
-3,364939907107588E-5
-0,006813974474577845
-0,01899572483383456
-0,046375895461487925
-4,834154454801939E-5
-0,024945416338415464
-0,01787193555580771
-0,010598860109040133
-1,6288772924004828E-8
-0,11685876186500561
-2,9797000741176303E-9
-0,197894997023291
-0,001115360301838334
-1,3787062613310503E-6
-9,91470279573249E-6
-0,058424895498573805
-0,4121795322645168
-5,762168363424042E-7
-0,02252515459870645
-2,914367295277314E-7
-6,218189733417351E-6
-8,903061450731835E-8
-6,83522353022567E-7
-7,669413929071206E-8
-0,5287622736521732
-1,2326674952620538E-8
-0,28650676890100363
-1,056572489819945E-5
-3,324188782156119E-5
-0,18733732170791734
-1,3981747509636542E-5
-2,2684901514822498E-5
-0,007107539817914509
-0,001446207415604217
-0,027372583869826127
-0,25299357668777445
-0,01399463770548265
-0,28920764309789565
-0,009822696293136226
-0,15624419755203436
-0,07058591220148235
-3,612854092824407E-5
-2,5498995813613663E-8
-0,05871952440777281
-0,002228097454162831
-0,5398221994517545
-0,26415853426492936
-0,348985603307145
-0,0891850049200426
-0,39353197718338256
-2,4529670727198136E-5
-0,4519402210852087
-0,012369046050465788
-0,159627072095089
-0,01877096261147004
-0,017309896036576032
-1,1336131021285115E-6
-1,3446556610074463E-5
-5,265888344775003E-6
-4,8098981788549785E-4
-3,338036343796536E-9
-1,7476376464865117E-5
-0,03446915722580829
-0,21613438700532753
-2,1796679318367833E-5
-0,05985392843245846
-0,003315828037446776
-3,738638856346358E-5
-5,394384709687011E-9
-0,011120100844136149
-0,2347272802359764
-0,22398873884516868
-2,102760977312878E-5
-9,61162297393282E-4
-0,01952180100891732
-0,17544568583227632
-2,3852077139047247E-5
-7,685075175522167E-9
-0,045498723575783814
-0,06056680077346318
-0,06891212464900963
-0,2313194836704225
-2,4181349945899438E-5
-0,007023910950995908
-7,480088042893007E-8
-8,899799570385225E-6
-3,728482648228428E-5
-0,048001581722425885
-0,45324188632384044
-0,27365802465129285
-4,397434133366361E-6
-5,30518412172179E-6
-0,0041124072025785
-1,454984507589417E-6
-0,1379448151829787
-0,33916607612783056
-0,39450546425912636
-0,43504116536004017
-4,031437140265667E-7
